id,bairro_group,bairro,latitude,longitude,room_type,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count,disponibilidade_365
2595,1,21,40.75362,-73.98377,1,1,45,0.38,2,355
3647,1,16,40.80902,-73.9419,2,3,0,0.0,1,365
5022,1,8,40.79851,-73.94399,1,10,9,0.1,1,0
5295,1,30,40.80316,-73.96545,1,5,53,0.43,1,6
7750,1,8,40.79685,-73.94872,1,7,0,0.0,2,249
7801,2,33,40.71842,-73.95718,1,3,9,0.07,1,0
8505,2,23,40.65599,-73.97519,2,1,19,1.37,2,85
8700,1,23,40.86754,-73.92639,2,4,0,0.0,1,0
9357,1,17,40.76715,-73.98533,1,10,58,0.49,1,75
11943,2,11,40.63702,-73.96327,2,1,0,0.0,1,365
12299,2,23,40.66278,-73.97966,1,3,15,0.39,1,345
12303,2,12,40.69673,-73.97584,2,7,25,0.23,1,311
12940,2,1,40.68111,-73.95591,1,7,61,0.52,1,265
13050,2,1,40.68554,-73.9409,1,3,11,0.1,1,0
14322,1,18,40.73961,-73.98074,1,7,19,0.22,1,257
14991,1,20,40.72004,-73.99104,2,5,19,0.17,1,301
15385,2,33,40.71185,-73.96204,2,2,42,0.38,1,263
16338,2,5,40.69,-73.96788,2,7,27,0.23,2,292
16458,2,24,40.67343,-73.98338,1,3,4,0.16,1,0
17037,1,9,40.72162,-73.98008,1,9,49,0.43,1,116
17092,1,17,40.76342,-73.98865,2,7,23,0.43,1,88
17693,1,31,40.83139,-73.94095,2,2,49,1.6,2,336
18127,1,9,40.72828,-73.98801,1,5,21,0.2,1,224
19282,2,11,40.65401,-73.96323,1,6,16,0.15,1,38
19812,2,33,40.71833,-73.95748,1,3,61,0.53,1,272
20300,1,9,40.72912,-73.98057,2,1,2,0.05,1,0
20724,2,2,40.70032,-73.9383,2,4,24,0.28,1,317
20853,2,25,40.68035,-73.97162,1,7,21,0.3,1,158
21644,1,16,40.82803,-73.94731,2,1,1,0.11,1,365
22918,1,16,40.82279,-73.95139,2,3,11,0.87,3,219
26559,1,9,40.7288,-73.98192,1,7,12,0.13,1,164
26954,1,18,40.74294,-73.98009,1,5,38,0.38,1,260
27006,1,30,40.77823,-73.97637,1,6,27,0.27,1,199
27759,1,30,40.77842,-73.97556,1,7,13,0.12,1,224
27883,1,9,40.72245,-73.98527,1,4,25,0.23,1,0
28321,2,26,40.65593,-73.96053,2,2,9,0.08,1,324
28396,2,33,40.71923,-73.96468,2,1,9,0.08,1,245
28907,1,29,40.778,-73.94822,1,5,21,0.19,1,189
30927,1,20,40.71341,-73.98856,1,3,32,0.29,1,16
31130,1,17,40.76754,-73.98399,2,2,50,0.45,3,234
31902,2,23,40.63188,-73.93248,2,2,2,0.02,1,178
32289,2,33,40.71561,-73.94835,1,3,10,0.1,1,280
32331,2,23,40.6857,-73.99183,1,2,4,0.04,1,0
32363,4,23,40.74028,-73.83168,2,2,1,0.01,1,1
32969,2,33,40.71596,-73.93938,1,3,11,0.11,1,188
33014,1,9,40.72354,-73.98295,1,3,30,0.28,1,248
36647,1,8,40.79295,-73.93997,2,2,34,0.32,1,10
36934,2,33,40.71363,-73.96398,1,6,27,0.25,1,189
40039,2,23,40.70207,-73.98571,2,3,14,0.13,1,189
40453,1,29,40.76123,-73.9642,1,3,4,0.08,1,365
41513,1,16,40.82704,-73.94907,1,3,2,0.04,1,0
43957,2,2,40.70641,-73.91765,2,2,47,0.94,1,37
45542,1,16,40.82374,-73.9373,1,2,18,1.79,1,0
45940,2,33,40.71627,-73.9587,1,4,33,0.58,1,1
46544,2,24,40.67994,-73.97863,1,5,52,0.5,1,18
46911,2,25,40.67868,-73.97307,2,3,51,0.48,3,250
47370,1,3,40.74031,-73.99999,1,3,3,0.03,1,0
47926,1,17,40.76307,-73.99665,1,1,41,0.38,1,299
51850,4,23,40.67252,-73.76597,2,2,52,0.49,2,365
53137,1,17,40.76244,-73.99271,1,5,10,1.01,1,0
53196,2,1,40.69546,-73.93503,2,2,11,0.48,1,0
54453,1,17,40.76548,-73.98474,3,6,10,0.09,1,363
55498,2,1,40.6829,-73.93549,2,2,23,0.22,1,91
55982,2,12,40.68656,-73.97525,2,3,37,0.35,1,0
57166,4,23,40.77185,-73.90502,1,2,17,0.16,1,292
57740,1,9,40.73012,-73.99053,1,3,7,0.07,1,351
58062,2,23,40.6585,-73.98397,2,2,21,0.26,1,272
58467,1,23,40.76193,-73.9501,2,7,17,0.3,1,341
59014,1,20,40.72052,-73.98589,1,3,41,0.39,1,244
59709,1,4,40.71756,-73.99503,1,4,18,0.18,2,265
60457,1,15,40.73194,-73.99474,1,5,10,0.1,1,91
60673,1,16,40.81583,-73.94707,2,2,1,0.11,1,365
60794,1,30,40.80021,-73.96071,1,4,4,0.04,1,0
61167,1,23,40.71961,-73.9954,1,2,21,0.2,1,0
63546,2,23,40.64106,-73.97426,2,1,45,0.46,2,365
63913,1,23,40.86648,-73.9263,2,7,0,0.0,2,323
64015,1,9,40.72807,-73.98594,1,3,0,0.0,1,0
65556,2,33,40.71368,-73.9626,2,3,0,0.0,1,0
65562,1,9,40.72956,-73.98158,1,7,5,0.15,1,231
65615,2,33,40.71069,-73.95175,1,10,49,0.48,1,152
65813,1,16,40.82888,-73.94307,2,3,20,0.26,1,364
65834,2,24,40.67319,-73.97323,1,2,11,0.11,1,246
66008,2,23,40.67846,-73.99443,1,3,51,0.57,1,288
66451,2,33,40.71031,-73.9583,1,2,9,0.11,1,254
68735,1,30,40.78971,-73.9729,1,11,30,0.32,1,249
68900,2,14,40.73119,-73.95578,2,3,6,0.1,1,325
69921,2,2,40.70514,-73.91922,2,5,47,0.49,1,203
70128,1,9,40.73198,-73.98881,2,3,52,0.63,1,5
